ip,app,device,os,channel,click_time,attributed_time,download_time,is_attributed
101074,3,1,18,280,2017-11-09 01:34:58,2017-11-09 01:53:53,0 days 00:18:55.000000000,1
87879,3,1,19,135,2017-11-07 02:39:07,2017-11-07 03:13:49,0 days 00:34:42.000000000,1
86402,3,1,17,424,2017-11-08 16:23:31,2017-11-08 16:24:31,0 days 00:01:00.000000000,1
198559,32,1,37,376,2017-11-08 01:44:56,2017-11-08 05:29:37,0 days 03:44:41.000000000,1
92769,3,1,19,480,2017-11-09 02:53:50,2017-11-09 04:20:39,0 days 01:26:49.000000000,1
32471,12,1,13,328,2017-11-08 04:42:15,2017-11-08 08:07:30,0 days 03:25:15.000000000,1
118607,11,1,19,325,2017-11-06 16:11:08,2017-11-06 16:12:03,0 days 00:00:55.000000000,1
41805,8,2,27,259,2017-11-09 04:40:01,2017-11-09 08:13:03,0 days 03:33:02.000000000,1
206225,2,1,19,435,2017-11-08 12:27:01,2017-11-08 12:27:12,0 days 00:00:11.000000000,1
37919,6,1,18,459,2017-11-09 14:09:17,2017-11-09 14:40:19,0 days 00:31:02.000000000,1
112954,20,1,22,259,2017-11-07 17:41:41,2017-11-07 17:42:13,0 days 00:00:32.000000000,1
5729,2,1,14,317,2017-11-08 13:52:55,2017-11-08 13:54:58,0 days 00:02:03.000000000,1
75565,2,1,37,219,2017-11-08 00:22:12,2017-11-08 00:23:45,0 days 00:01:33.000000000,1
8352,23,1,19,153,2017-11-07 02:16:37,2017-11-07 02:17:10,0 days 00:00:33.000000000,1
20904,9,1,19,334,2017-11-08 14:02:02,2017-11-08 14:15:08,0 days 00:13:06.000000000,1
101502,12,1,41,259,2017-11-07 09:25:08,2017-11-07 09:26:10,0 days 00:01:02.000000000,1
31456,15,2,19,245,2017-11-08 08:47:45,2017-11-08 10:19:54,0 days 01:32:09.000000000,1
106078,18,1,15,121,2017-11-09 09:59:46,2017-11-09 15:19:38,0 days 05:19:52.000000000,1
73011,3,1,19,442,2017-11-08 01:12:35,2017-11-08 01:58:20,0 days 00:45:45.000000000,1
84466,9,1,26,489,2017-11-07 08:49:24,2017-11-07 10:22:57,0 days 01:33:33.000000000,1
5348,13,1,27,477,2017-11-09 06:41:54,2017-11-09 07:50:40,0 days 01:08:46.000000000,1
189139,3,1,6,379,2017-11-09 08:38:34,2017-11-09 08:38:38,0 days 00:00:04.000000000,1
64615,2,1,13,219,2017-11-07 02:17:31,2017-11-07 04:09:21,0 days 01:51:50.000000000,1
1049,9,1,53,489,2017-11-07 07:53:11,2017-11-07 07:53:49,0 days 00:00:38.000000000,1
79051,18,1,19,107,2017-11-09 04:47:43,2017-11-09 04:47:58,0 days 00:00:15.000000000,1
9442,9,1,19,466,2017-11-07 12:50:26,2017-11-07 13:40:22,0 days 00:49:56.000000000,1
241605,12,1,19,259,2017-11-09 11:57:31,2017-11-09 12:06:40,0 days 00:09:09.000000000,1
142687,20,1,3,259,2017-11-09 12:45:14,2017-11-09 12:45:48,0 days 00:00:34.000000000,1
47674,3,1,41,424,2017-11-06 23:12:04,2017-11-06 23:16:11,0 days 00:04:07.000000000,1
194052,21,1,19,128,2017-11-08 23:23:09,2017-11-08 23:24:54,0 days 00:01:45.000000000,1
18270,2,1,14,469,2017-11-08 14:52:39,2017-11-08 14:57:34,0 days 00:04:55.000000000,1
103019,15,2,9,265,2017-11-08 14:20:19,2017-11-08 14:20:46,0 days 00:00:27.000000000,1
283930,12,1,18,140,2017-11-09 05:01:19,2017-11-09 05:01:30,0 days 00:00:11.000000000,1
95175,8,1,19,145,2017-11-07 08:59:03,2017-11-07 09:01:35,0 days 00:02:32.000000000,1
201143,12,1,13,265,2017-11-06 17:13:00,2017-11-06 17:14:09,0 days 00:01:09.000000000,1
66742,23,1,17,153,2017-11-09 15:09:30,2017-11-09 15:40:15,0 days 00:30:45.000000000,1
10613,23,1,19,153,2017-11-08 05:51:25,2017-11-08 09:22:09,0 days 03:30:44.000000000,1
114507,1,1,19,134,2017-11-07 13:20:36,2017-11-07 13:25:33,0 days 00:04:57.000000000,1
114736,9,1,17,445,2017-11-09 10:14:27,2017-11-09 10:16:27,0 days 00:02:00.000000000,1
12610,15,1,22,245,2017-11-08 15:13:03,2017-11-08 15:14:24,0 days 00:01:21.000000000,1
92183,3,1,18,280,2017-11-07 04:38:42,2017-11-07 07:35:27,0 days 02:56:45.000000000,1
2463,15,1,19,153,2017-11-08 14:46:11,2017-11-08 14:46:51,0 days 00:00:40.000000000,1
81312,9,1,18,232,2017-11-07 00:19:32,2017-11-07 05:30:02,0 days 05:10:30.000000000,1
147957,15,1,19,140,2017-11-08 04:21:16,2017-11-08 04:22:15,0 days 00:00:59.000000000,1
119349,33,3866,866,347,2017-11-08 04:00:16,2017-11-08 15:04:37,0 days 11:04:21.000000000,1
109161,2,1,8,435,2017-11-07 02:13:04,2017-11-07 06:46:22,0 days 04:33:18.000000000,1
172923,11,1,13,219,2017-11-09 03:14:36,2017-11-09 03:15:28,0 days 00:00:52.000000000,1
153777,18,1,20,107,2017-11-07 07:45:40,2017-11-07 12:14:08,0 days 04:28:28.000000000,1
97412,3,1,19,442,2017-11-08 14:03:17,2017-11-08 14:04:38,0 days 00:01:21.000000000,1
14290,3,1,22,130,2017-11-09 12:35:38,2017-11-09 13:17:38,0 days 00:42:00.000000000,1
8429,3,1,13,280,2017-11-07 10:10:04,2017-11-07 13:34:43,0 days 03:24:39.000000000,1
121428,14,1,19,379,2017-11-08 04:53:54,2017-11-08 04:56:13,0 days 00:02:19.000000000,1
5788,14,1,13,489,2017-11-09 05:28:21,2017-11-09 05:33:50,0 days 00:05:29.000000000,1
111672,11,1,10,219,2017-11-07 05:27:30,2017-11-07 05:40:54,0 days 00:13:24.000000000,1
38575,18,1,22,121,2017-11-08 03:15:11,2017-11-08 03:38:36,0 days 00:23:25.000000000,1
197325,14,1,13,379,2017-11-08 10:02:16,2017-11-08 10:02:39,0 days 00:00:23.000000000,1
302389,9,1,13,445,2017-11-08 03:07:30,2017-11-08 04:20:00,0 days 01:12:30.000000000,1
87968,14,1,13,442,2017-11-08 14:38:15,2017-11-08 15:13:03,0 days 00:34:48.000000000,1
44590,24,1,37,105,2017-11-06 18:25:22,2017-11-07 02:10:11,0 days 07:44:49.000000000,1
95669,2,1,19,219,2017-11-09 10:50:13,2017-11-09 10:52:49,0 days 00:02:36.000000000,1
3994,12,1,47,245,2017-11-08 18:27:36,2017-11-09 07:22:59,0 days 12:55:23.000000000,1
77761,3,1,19,379,2017-11-09 10:02:57,2017-11-09 10:04:12,0 days 00:01:15.000000000,1
97283,9,1,13,134,2017-11-08 12:00:18,2017-11-08 12:01:21,0 days 00:01:03.000000000,1
8230,3,1,19,424,2017-11-09 14:59:56,2017-11-09 15:40:04,0 days 00:40:08.000000000,1
14792,15,2,32,245,2017-11-08 15:53:01,2017-11-08 15:53:04,0 days 00:00:03.000000000,1
104988,1,1,19,125,2017-11-09 05:45:08,2017-11-09 05:53:07,0 days 00:07:59.000000000,1
74195,6,1,19,125,2017-11-07 04:42:21,2017-11-07 04:43:53,0 days 00:01:32.000000000,1
43188,15,1,13,480,2017-11-07 01:10:43,2017-11-07 01:12:48,0 days 00:02:05.000000000,1
60854,15,1,18,3,2017-11-08 14:25:26,2017-11-08 14:35:24,0 days 00:09:58.000000000,1
68734,18,1,37,107,2017-11-09 09:00:32,2017-11-09 09:09:47,0 days 00:09:15.000000000,1
5467,14,1,19,401,2017-11-07 06:45:19,2017-11-07 06:45:22,0 days 00:00:03.000000000,1
100084,8,1,13,145,2017-11-08 18:35:11,2017-11-09 03:21:06,0 days 08:45:55.000000000,1
37829,9,1,19,334,2017-11-08 00:13:38,2017-11-08 00:15:37,0 days 00:01:59.000000000,1
21097,2,1,13,435,2017-11-07 17:32:57,2017-11-07 17:58:40,0 days 00:25:43.000000000,1
75007,9,1,16,466,2017-11-08 08:57:36,2017-11-08 09:24:26,0 days 00:26:50.000000000,1
114330,35,1,22,21,2017-11-09 04:59:20,2017-11-09 07:11:37,0 days 02:12:17.000000000,1
21126,12,1,17,140,2017-11-09 04:13:46,2017-11-09 04:14:30,0 days 00:00:44.000000000,1
7884,15,1,13,245,2017-11-09 03:16:52,2017-11-09 04:10:55,0 days 00:54:03.000000000,1
60207,12,1,13,245,2017-11-09 02:49:23,2017-11-09 02:52:01,0 days 00:02:38.000000000,1
15343,13,1,19,400,2017-11-09 14:26:55,2017-11-09 15:27:57,0 days 01:01:02.000000000,1
34795,23,1,13,153,2017-11-08 02:58:25,2017-11-08 06:40:19,0 days 03:41:54.000000000,1
19539,14,1,13,478,2017-11-09 12:20:33,2017-11-09 12:25:04,0 days 00:04:31.000000000,1
200224,1,1,13,153,2017-11-07 10:40:35,2017-11-07 10:41:05,0 days 00:00:30.000000000,1
26908,3,1,8,135,2017-11-09 12:32:22,2017-11-09 12:42:42,0 days 00:10:20.000000000,1
109594,3,1,13,280,2017-11-06 23:01:40,2017-11-06 23:02:52,0 days 00:01:12.000000000,1
79909,3,1,10,489,2017-11-09 07:18:53,2017-11-09 07:23:55,0 days 00:05:02.000000000,1
67422,9,1,19,445,2017-11-07 01:56:34,2017-11-07 02:02:24,0 days 00:05:50.000000000,1
81121,8,1,19,145,2017-11-09 01:08:17,2017-11-09 11:29:40,0 days 10:21:23.000000000,1
49418,15,1,13,278,2017-11-09 02:01:17,2017-11-09 05:11:36,0 days 03:10:19.000000000,1
193309,12,1,10,265,2017-11-07 07:45:24,2017-11-07 11:59:23,0 days 04:13:59.000000000,1
67561,11,1,13,319,2017-11-07 06:58:21,2017-11-07 06:58:58,0 days 00:00:37.000000000,1
27879,18,1,13,121,2017-11-09 11:21:33,2017-11-09 11:26:35,0 days 00:05:02.000000000,1
344351,18,1,6,439,2017-11-08 05:58:32,2017-11-08 06:05:37,0 days 00:07:05.000000000,1
80568,9,1,17,127,2017-11-09 00:40:39,2017-11-09 00:41:29,0 days 00:00:50.000000000,1
69044,6,2,36,125,2017-11-09 04:48:20,2017-11-09 04:49:23,0 days 00:01:03.000000000,1
2420,2,1,3,435,2017-11-07 01:02:09,2017-11-07 01:06:00,0 days 00:03:51.000000000,1
111805,2,2,13,205,2017-11-08 23:35:51,2017-11-09 04:47:35,0 days 05:11:44.000000000,1
69174,9,1,22,442,2017-11-07 00:41:44,2017-11-07 00:42:15,0 days 00:00:31.000000000,1
22146,2,1,19,122,2017-11-07 11:26:37,2017-11-07 14:11:08,0 days 02:44:31.000000000,1
173522,11,1,30,219,2017-11-08 10:27:56,2017-11-08 14:19:51,0 days 03:51:55.000000000,1
66289,9,1,10,232,2017-11-09 02:18:04,2017-11-09 02:19:16,0 days 00:01:12.000000000,1
364577,18,1,25,439,2017-11-08 18:32:34,2017-11-09 00:26:35,0 days 05:54:01.000000000,1
45929,14,1,13,439,2017-11-08 02:53:38,2017-11-08 02:53:49,0 days 00:00:11.000000000,1
89182,3,1,13,280,2017-11-07 13:41:02,2017-11-07 13:42:06,0 days 00:01:04.000000000,1
126483,2,2,13,205,2017-11-08 23:45:21,2017-11-09 07:30:43,0 days 07:45:22.000000000,1
29720,2,1,20,122,2017-11-07 09:24:20,2017-11-07 09:24:33,0 days 00:00:13.000000000,1
44725,12,1,31,259,2017-11-07 04:58:03,2017-11-07 05:01:17,0 days 00:03:14.000000000,1
38296,18,1,47,376,2017-11-07 10:48:55,2017-11-07 11:23:36,0 days 00:34:41.000000000,1
100099,19,414,0,282,2017-11-08 00:59:27,2017-11-08 01:13:27,0 days 00:14:00.000000000,1
3410,26,1,15,121,2017-11-07 09:21:12,2017-11-07 12:28:42,0 days 03:07:30.000000000,1
74355,11,1,15,319,2017-11-09 10:49:41,2017-11-09 15:05:53,0 days 04:16:12.000000000,1
79881,14,1,22,134,2017-11-07 07:09:08,2017-11-07 10:20:35,0 days 03:11:27.000000000,1
80558,19,0,29,343,2017-11-07 13:18:28,2017-11-07 15:32:11,0 days 02:13:43.000000000,1
49383,12,2,22,265,2017-11-09 01:14:24,2017-11-09 02:21:57,0 days 01:07:33.000000000,1
33482,1,1,19,452,2017-11-09 08:36:18,2017-11-09 13:12:41,0 days 04:36:23.000000000,1
110986,18,1,13,121,2017-11-07 04:26:22,2017-11-07 04:28:11,0 days 00:01:49.000000000,1
107155,3,1,3,280,2017-11-07 15:27:43,2017-11-07 15:38:38,0 days 00:10:55.000000000,1
105649,2,1,22,205,2017-11-08 09:54:15,2017-11-08 10:22:55,0 days 00:28:40.000000000,1
125456,32,1,19,376,2017-11-08 01:42:13,2017-11-08 01:49:25,0 days 00:07:12.000000000,1
264063,9,1,35,134,2017-11-08 00:05:53,2017-11-08 00:14:30,0 days 00:08:37.000000000,1
1840,3,1,23,489,2017-11-08 05:41:16,2017-11-08 05:56:54,0 days 00:15:38.000000000,1
91611,18,1,19,121,2017-11-07 03:33:39,2017-11-07 03:38:19,0 days 00:04:40.000000000,1
62930,3,1,19,205,2017-11-09 02:53:11,2017-11-09 02:53:37,0 days 00:00:26.000000000,1
34385,2,1,13,237,2017-11-09 01:27:21,2017-11-09 06:01:01,0 days 04:33:40.000000000,1
42122,14,1,10,442,2017-11-09 07:09:01,2017-11-09 07:09:31,0 days 00:00:30.000000000,1
49383,64,1,13,459,2017-11-07 18:58:37,2017-11-07 23:23:32,0 days 04:24:55.000000000,1
24722,15,1,13,379,2017-11-08 03:24:56,2017-11-08 03:25:32,0 days 00:00:36.000000000,1
62225,15,1,13,315,2017-11-09 14:28:40,2017-11-09 14:30:13,0 days 00:01:33.000000000,1
29151,6,1,14,125,2017-11-08 01:34:59,2017-11-08 01:35:30,0 days 00:00:31.000000000,1
6794,14,1,19,480,2017-11-08 01:55:30,2017-11-08 02:18:55,0 days 00:23:25.000000000,1
89025,2,1,19,452,2017-11-07 15:27:51,2017-11-07 15:28:25,0 days 00:00:34.000000000,1
61793,15,1,10,386,2017-11-08 01:17:13,2017-11-08 01:17:47,0 days 00:00:34.000000000,1
13001,20,1,19,259,2017-11-07 09:33:58,2017-11-07 09:34:09,0 days 00:00:11.000000000,1
110849,6,1,18,459,2017-11-07 06:44:46,2017-11-07 06:51:31,0 days 00:06:45.000000000,1
73487,12,1,13,259,2017-11-08 20:01:49,2017-11-09 00:16:20,0 days 04:14:31.000000000,1
254842,3,1,13,280,2017-11-09 02:18:00,2017-11-09 05:44:39,0 days 03:26:39.000000000,1
92511,2,2,13,364,2017-11-08 10:33:06,2017-11-08 10:34:02,0 days 00:00:56.000000000,1
73487,12,1,15,326,2017-11-09 07:01:22,2017-11-09 07:32:01,0 days 00:30:39.000000000,1
98180,3,1,18,205,2017-11-07 05:39:58,2017-11-07 06:21:25,0 days 00:41:27.000000000,1
74497,2,1,19,477,2017-11-09 01:59:10,2017-11-09 02:02:08,0 days 00:02:58.000000000,1
33021,2,1,9,317,2017-11-09 07:42:20,2017-11-09 07:44:58,0 days 00:02:38.000000000,1
58637,3,1,13,280,2017-11-09 02:58:22,2017-11-09 09:44:11,0 days 06:45:49.000000000,1
169757,8,1,19,259,2017-11-07 13:18:55,2017-11-07 13:19:05,0 days 00:00:10.000000000,1
20326,3,1,13,280,2017-11-07 13:11:01,2017-11-07 15:02:26,0 days 01:51:25.000000000,1
48211,3,1,20,280,2017-11-07 05:17:50,2017-11-07 08:56:27,0 days 03:38:37.000000000,1
74916,9,1,19,258,2017-11-08 15:28:31,2017-11-08 15:29:18,0 days 00:00:47.000000000,1
186544,15,1,19,245,2017-11-09 15:29:40,2017-11-09 15:31:32,0 days 00:01:52.000000000,1
82427,125,0,748,341,2017-11-08 03:22:53,2017-11-08 08:09:38,0 days 04:46:45.000000000,1
75275,15,1,47,480,2017-11-07 05:59:43,2017-11-07 09:31:25,0 days 03:31:42.000000000,1
113996,2,1,32,258,2017-11-08 01:37:17,2017-11-08 07:05:39,0 days 05:28:22.000000000,1
105162,2,1,13,435,2017-11-08 02:33:20,2017-11-08 02:34:03,0 days 00:00:43.000000000,1
31784,12,1,19,245,2017-11-09 11:37:42,2017-11-09 11:39:05,0 days 00:01:23.000000000,1
67197,9,1,13,215,2017-11-07 03:09:36,2017-11-07 03:59:26,0 days 00:49:50.000000000,1
193882,22,1,19,116,2017-11-09 12:02:12,2017-11-09 12:03:29,0 days 00:01:17.000000000,1
67734,2,1,1,469,2017-11-07 15:45:25,2017-11-07 15:46:35,0 days 00:01:10.000000000,1
45745,1,1,13,349,2017-11-06 17:52:34,2017-11-06 17:53:36,0 days 00:01:02.000000000,1
98995,21,1,18,128,2017-11-09 08:43:46,2017-11-09 08:45:12,0 days 00:01:26.000000000,1
68537,5,1,13,377,2017-11-09 09:19:12,2017-11-09 09:26:11,0 days 00:06:59.000000000,1
127432,7,1,19,101,2017-11-09 04:43:35,2017-11-09 06:29:49,0 days 01:46:14.000000000,1
177017,3,1,13,205,2017-11-08 12:23:49,2017-11-08 12:24:21,0 days 00:00:32.000000000,1
278119,3,1,18,280,2017-11-07 23:29:35,2017-11-08 04:06:32,0 days 04:36:57.000000000,1
108229,12,1,15,328,2017-11-07 12:49:16,2017-11-07 12:54:39,0 days 00:05:23.000000000,1
38311,26,1,19,121,2017-11-09 01:22:00,2017-11-09 01:24:25,0 days 00:02:25.000000000,1
5853,7,1,18,101,2017-11-09 06:10:19,2017-11-09 06:13:54,0 days 00:03:35.000000000,1
45813,14,1,17,442,2017-11-09 08:23:14,2017-11-09 12:17:50,0 days 03:54:36.000000000,1
110797,11,1,10,319,2017-11-07 02:41:09,2017-11-07 02:42:23,0 days 00:01:14.000000000,1
50087,3,1,13,317,2017-11-09 02:55:41,2017-11-09 02:57:28,0 days 00:01:47.000000000,1
32470,3,1,13,424,2017-11-08 06:37:57,2017-11-08 07:32:56,0 days 00:54:59.000000000,1
119167,14,1,13,480,2017-11-07 11:43:02,2017-11-07 11:58:58,0 days 00:15:56.000000000,1
26814,14,2,19,463,2017-11-07 01:29:46,2017-11-07 01:30:21,0 days 00:00:35.000000000,1
323686,23,1,35,153,2017-11-07 00:43:56,2017-11-07 00:47:03,0 days 00:03:07.000000000,1
136999,12,1,19,205,2017-11-07 06:44:13,2017-11-07 06:57:09,0 days 00:12:56.000000000,1
15819,9,1,17,234,2017-11-08 04:07:35,2017-11-08 04:08:48,0 days 00:01:13.000000000,1
25452,3,1,17,135,2017-11-09 06:51:42,2017-11-09 06:53:05,0 days 00:01:23.000000000,1
41576,2,1,15,237,2017-11-09 00:18:13,2017-11-09 02:11:08,0 days 01:52:55.000000000,1
7204,3,1,13,480,2017-11-08 15:08:23,2017-11-08 15:10:03,0 days 00:01:40.000000000,1
18520,18,1,14,439,2017-11-08 04:58:56,2017-11-08 05:30:56,0 days 00:32:00.000000000,1
60598,11,1,10,469,2017-11-07 02:20:33,2017-11-07 02:21:06,0 days 00:00:33.000000000,1
126222,26,1,47,266,2017-11-09 14:35:21,2017-11-09 14:39:35,0 days 00:04:14.000000000,1
11905,18,1,6,107,2017-11-09 02:55:35,2017-11-09 02:56:26,0 days 00:00:51.000000000,1
11051,3,1,18,280,2017-11-09 13:14:50,2017-11-09 13:16:12,0 days 00:01:22.000000000,1
172908,2,1,16,122,2017-11-09 08:19:42,2017-11-09 08:22:04,0 days 00:02:22.000000000,1
96751,14,1,13,379,2017-11-09 09:34:53,2017-11-09 09:36:37,0 days 00:01:44.000000000,1
77266,15,1,13,140,2017-11-06 22:24:42,2017-11-06 22:31:28,0 days 00:06:46.000000000,1
88281,15,1,19,265,2017-11-08 11:31:26,2017-11-08 15:58:11,0 days 04:26:45.000000000,1
41399,3,1,19,211,2017-11-07 11:02:12,2017-11-07 11:04:11,0 days 00:01:59.000000000,1
134553,12,1,13,245,2017-11-08 02:10:11,2017-11-08 05:20:47,0 days 03:10:36.000000000,1
3994,14,1,19,439,2017-11-07 05:30:22,2017-11-07 05:32:58,0 days 00:02:36.000000000,1
70404,23,1,15,153,2017-11-09 03:47:53,2017-11-09 03:52:15,0 days 00:04:22.000000000,1
152339,9,1,37,445,2017-11-07 16:11:06,2017-11-08 01:26:18,0 days 09:15:12.000000000,1
80634,9,1,13,127,2017-11-08 13:09:51,2017-11-08 13:12:25,0 days 00:02:34.000000000,1
8180,12,1,19,245,2017-11-08 10:31:47,2017-11-08 12:07:21,0 days 01:35:34.000000000,1
59012,64,1,23,459,2017-11-09 11:33:34,2017-11-09 11:34:05,0 days 00:00:31.000000000,1
43611,14,1,44,439,2017-11-07 11:29:11,2017-11-07 11:31:43,0 days 00:02:32.000000000,1
115615,3,1,13,115,2017-11-09 02:43:24,2017-11-09 03:02:56,0 days 00:19:32.000000000,1
83061,15,1,10,140,2017-11-09 05:25:38,2017-11-09 05:41:55,0 days 00:16:17.000000000,1
81252,18,1,19,449,2017-11-08 13:03:18,2017-11-08 13:04:40,0 days 00:01:22.000000000,1
19317,27,1,13,122,2017-11-07 00:01:14,2017-11-07 11:32:56,0 days 11:31:42.000000000,1
79874,20,2,9,259,2017-11-09 08:03:12,2017-11-09 08:05:19,0 days 00:02:07.000000000,1
255476,14,1,19,360,2017-11-07 10:48:09,2017-11-07 10:55:25,0 days 00:07:16.000000000,1
125222,12,1,15,212,2017-11-09 15:01:24,2017-11-09 15:25:14,0 days 00:23:50.000000000,1
39762,18,1,37,134,2017-11-08 06:58:58,2017-11-08 07:06:52,0 days 00:07:54.000000000,1
53942,2,1,19,477,2017-11-08 03:52:52,2017-11-08 04:14:44,0 days 00:21:52.000000000,1
204339,12,1,10,178,2017-11-07 02:40:25,2017-11-07 02:44:46,0 days 00:04:21.000000000,1
105560,15,1,19,153,2017-11-07 02:47:36,2017-11-07 04:04:47,0 days 01:17:11.000000000,1
84568,15,1,17,245,2017-11-08 06:13:26,2017-11-08 14:41:12,0 days 08:27:46.000000000,1
18689,18,1,22,107,2017-11-08 11:03:57,2017-11-08 12:33:59,0 days 01:30:02.000000000,1
